lead_number,do_not_email,do_not_call,total_visits,total_time_spent_on_website,page_views_per_visit,search,magazine,newspaper_article,update_me_on_upcoming_bike_rallies,newspaper,digital_advertisement,through_recommendations,receive_more_updates_about_our_accessories,update_me_on_discounts,get_updates_on_dm_content,asymmetrique_activity_score,asymmetrique_profile_score,i_agree_to_pay_the_amount_through_cheque
661026,No,No,8.0,1232.0,4.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
661027,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,,,No
661028,No,No,3.0,110.0,3.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
661029,No,No,4.0,310.0,4.0,No,No,No,No,No,No,No,No,No,No,,,No
661030,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,,,No
661031,No,No,5.0,1097.0,5.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
661032,Yes,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
661033,No,No,2.0,1704.0,2.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
661034,No,No,6.0,1688.0,3.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
661035,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,,,No
661036,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,,,No
661037,No,No,14.0,1555.0,14.0,No,No,No,No,No,No,No,No,No,No,,,No
661038,No,No,5.0,73.0,5.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
661039,No,No,2.0,1208.0,2.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
661040,No,No,7.0,5.0,7.0,No,No,No,,No,No,No,No,No,No,13.0,16.0,No
661041,No,No,2.0,1328.0,2.0,No,No,No,,No,No,No,No,No,No,15.0,16.0,No
661042,No,No,0.0,0.0,0.0,No,No,No,,No,No,No,No,No,No,,,No
661043,No,No,0.0,0.0,0.0,No,No,No,,No,No,No,No,No,No,,,No
661044,No,No,1.0,136.0,1.0,No,No,No,,No,No,No,No,No,No,,,No
661045,No,No,4.0,1123.0,4.0,No,No,No,No,No,No,No,No,No,No,,,No
661046,No,No,7.0,940.0,7.0,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
661047,No,No,8.0,1071.0,8.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
661048,No,No,2.0,1298.0,1.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
661049,No,No,11.0,374.0,11.0,No,No,No,No,No,No,No,No,No,No,16.0,16.0,No
661050,No,No,2.0,1271.0,2.0,No,No,No,No,No,No,No,No,No,No,,,No
661051,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
661052,No,No,2.0,663.0,2.0,No,No,No,No,No,No,No,No,No,No,13.0,17.0,No
661053,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,,,No
661054,No,No,3.0,230.0,3.0,No,No,No,No,No,No,No,No,No,No,,,No
661055,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
661056,No,No,2.0,383.0,2.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
661057,No,No,3.0,321.0,3.0,No,No,No,No,No,No,No,No,No,No,13.0,20.0,No
661058,No,No,6.0,208.0,6.0,No,No,No,No,No,No,No,No,No,No,14.0,13.0,No
661059,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,,,No
661060,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,,,No
661061,No,No,2.0,61.0,2.0,No,No,No,No,No,No,No,No,No,No,10.0,15.0,No
661062,No,No,4.0,248.0,2.0,No,No,No,No,No,No,No,No,No,No,14.0,13.0,No
661063,No,No,9.0,165.0,4.5,No,No,No,No,No,No,No,No,No,No,,,No
661064,No,No,2.0,1266.0,2.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
661065,No,No,3.0,473.0,1.5,No,No,No,No,No,No,No,No,No,No,,,No
661066,No,No,5.0,1234.0,1.67,No,No,No,No,No,No,No,No,No,No,16.0,17.0,No
661067,No,No,1.0,258.0,1.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
661068,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
661069,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,,,No
661070,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,,,No
661071,No,No,4.0,1529.0,4.0,No,No,No,No,No,No,No,No,No,No,,,No
661072,No,No,2.0,1816.0,2.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
661073,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,,,No
661074,No,No,3.0,1095.0,3.0,No,No,No,No,No,No,No,No,No,No,13.0,16.0,No
661075,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
661076,No,No,4.0,141.0,2.0,No,No,No,No,No,No,No,No,No,No,,,No
661077,No,No,7.0,1164.0,7.0,No,No,No,No,No,No,No,No,No,No,,,No
661078,No,No,2.0,251.0,2.0,No,No,No,No,No,No,No,No,No,No,,,No
661079,No,No,3.0,1114.0,3.0,No,No,No,No,No,No,No,No,No,No,,,No
661080,No,No,5.0,13.0,1.25,No,No,No,No,No,No,No,No,No,No,13.0,17.0,No
661081,No,No,,373.0,,No,No,No,No,No,No,No,No,No,No,,,No
661082,No,No,2.0,1161.0,2.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
661083,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
661084,No,No,3.0,187.0,1.5,No,No,No,No,No,No,No,No,No,No,,,No
661085,No,No,2.0,1101.0,1.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
661086,No,No,2.0,24.0,2.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
661087,No,No,2.0,909.0,2.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
661088,No,No,4.0,79.0,4.0,No,No,No,No,No,No,No,No,No,No,,,No
661089,No,No,5.0,285.0,5.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
661090,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
661091,No,No,5.0,115.0,5.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
661092,No,No,4.0,21.0,4.0,No,No,No,No,No,No,No,No,No,No,,,No
661093,No,No,3.0,10.0,1.5,No,No,No,No,No,No,No,No,No,No,16.0,18.0,No
661094,No,No,2.0,1165.0,2.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
