lead_number,do_not_email,do_not_call,converted,total_visits,total_time_spent_on_website,page_views_per_visit,search,magazine,newspaper_article,update_me_on_upcoming_bike_rallies,newspaper,digital_advertisement,through_recommendations,receive_more_updates_about_our_accessories,update_me_on_discounts,get_updates_on_dm_content,asymmetrique_activity_score,asymmetrique_profile_score,i_agree_to_pay_the_amount_through_cheque
660153,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
660149,No,No,0,6.0,1225,6.0,No,No,No,No,No,No,No,No,No,No,12.0,15.0,No
660128,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
660087,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
660070,No,No,0,5.0,160,5.0,No,No,No,No,No,No,No,No,No,No,17.0,18.0,No
660069,No,No,0,6.0,394,2.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
660050,No,No,0,6.0,286,1.5,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
660048,No,No,0,7.0,96,2.33,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
660030,No,No,0,2.0,12,2.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
659998,No,No,1,13.0,436,13.0,No,No,No,No,No,No,No,No,No,No,15.0,13.0,No
659963,No,No,1,8.0,903,8.0,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
659942,No,No,0,17.0,409,8.5,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
659937,No,No,0,11.0,685,5.5,No,No,No,No,No,No,No,No,No,No,11.0,13.0,No
659931,No,No,0,4.0,213,4.0,No,No,No,No,No,No,No,No,No,No,13.0,16.0,No
659925,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
659918,No,No,1,7.0,1468,3.5,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
659896,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
659889,No,No,1,4.0,1435,4.0,No,No,No,No,No,No,No,No,No,No,12.0,18.0,No
659875,No,No,1,1.0,157,1.0,No,No,No,No,No,No,No,No,No,No,15.0,14.0,No
659853,No,No,1,3.0,885,1.5,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
659849,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
659833,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,12.0,14.0,No
659830,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
659819,No,No,0,1.0,1710,1.0,No,No,No,No,No,No,No,No,No,No,16.0,19.0,No
659820,No,No,0,4.0,219,4.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
659806,Yes,No,0,3.0,111,3.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
659784,No,No,0,6.0,224,6.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
659782,No,No,0,5.0,224,1.67,No,No,No,No,No,No,No,No,No,No,13.0,17.0,No
659779,No,No,1,2.0,1071,2.0,No,No,No,No,No,No,No,No,No,No,12.0,17.0,No
659727,No,No,1,6.0,595,3.0,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
659722,No,No,1,,1096,,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
659720,No,No,0,4.0,520,4.0,No,No,No,No,No,No,No,No,No,No,10.0,15.0,No
659710,No,No,1,,705,,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
659708,No,No,0,2.0,393,2.0,No,No,No,No,No,No,No,No,No,No,14.0,14.0,No
659705,No,No,1,,346,,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
659704,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
659700,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
659696,No,No,1,3.0,1136,3.0,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
659685,No,No,0,3.0,335,3.0,No,No,No,No,No,No,No,No,No,No,14.0,13.0,No
659676,No,No,0,4.0,75,4.0,No,No,No,No,No,No,No,No,No,No,14.0,13.0,No
659644,No,No,0,6.0,97,3.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
659631,No,No,1,,1007,,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
659630,No,No,0,2.0,1085,2.0,No,No,No,No,No,No,No,No,No,No,13.0,14.0,No
659614,No,No,0,3.0,214,3.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
659607,No,No,1,6.0,1158,1.5,No,No,No,No,No,No,No,No,No,No,15.0,14.0,No
659600,No,No,0,4.0,101,4.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
659582,No,No,0,9.0,838,4.5,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
659567,No,No,0,3.0,536,3.0,No,No,No,No,No,No,No,No,No,No,9.0,18.0,No
659562,No,No,0,4.0,161,2.0,No,No,No,No,No,No,No,No,No,No,12.0,17.0,No
659555,No,No,0,2.0,511,2.0,No,No,No,No,No,No,No,No,No,No,9.0,15.0,No
659545,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
659523,No,No,1,5.0,1110,5.0,No,No,No,No,No,No,No,No,No,No,16.0,16.0,No
659507,No,No,1,5.0,1563,5.0,No,No,No,No,No,No,No,No,No,No,15.0,20.0,No
659492,No,No,0,7.0,1633,3.5,No,No,No,No,No,No,No,No,No,No,14.0,13.0,No
659480,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
659474,No,No,0,12.0,809,4.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
659469,No,No,0,2.0,638,2.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
659463,No,No,1,5.0,1196,5.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
659447,No,No,0,6.0,1485,6.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
659438,No,No,0,9.0,125,3.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
659437,No,No,1,3.0,165,3.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
659411,No,No,0,6.0,398,3.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
659407,No,No,0,3.0,570,3.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
659395,No,No,1,6.0,895,6.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
659371,No,No,1,4.0,1190,4.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
659369,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,19.0,No
659366,No,No,0,5.0,1566,5.0,No,No,No,No,No,No,No,No,No,No,11.0,15.0,No
659364,No,No,1,5.0,727,5.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
659357,No,No,0,8.0,652,4.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
659345,No,No,0,4.0,1248,1.33,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
659334,No,No,0,2.0,767,2.0,No,No,No,No,No,No,No,No,No,No,15.0,14.0,No
659293,No,No,0,10.0,275,3.33,No,No,No,No,No,No,No,No,No,No,15.0,13.0,No
659287,No,No,0,3.0,273,3.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
659283,No,No,1,,1111,,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
659281,No,No,0,8.0,277,4.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
659263,No,No,1,3.0,1207,1.5,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
659248,No,No,0,2.0,39,1.0,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
659244,No,No,0,4.0,1638,4.0,No,No,No,No,No,No,No,No,No,No,12.0,18.0,No
659241,No,No,0,16.0,53,16.0,No,No,No,No,No,No,No,No,No,No,15.0,13.0,No
659238,No,No,0,1.0,127,1.0,No,No,No,No,No,No,No,No,No,No,16.0,18.0,No
659221,Yes,No,0,5.0,100,5.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
659217,Yes,No,0,4.0,323,4.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
659203,No,No,1,2.0,160,1.0,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
659191,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,19.0,No
659182,No,No,0,1.0,263,1.0,No,No,No,No,No,No,No,No,No,No,14.0,14.0,No
659170,No,No,0,2.0,1218,2.0,No,No,No,No,No,No,No,No,No,No,11.0,15.0,No
659158,No,No,1,,986,,No,No,No,No,No,No,No,No,No,No,14.0,19.0,No
659153,No,No,1,,889,,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
659146,No,No,1,5.0,1091,5.0,No,No,No,No,No,No,No,No,No,No,13.0,20.0,No
659142,No,No,0,4.0,291,4.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
659141,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
659138,Yes,No,0,1.0,1759,1.0,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
659132,No,No,0,7.0,41,3.5,No,No,No,No,No,No,No,No,No,No,14.0,14.0,No
659123,No,No,0,5.0,386,5.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
659117,No,No,0,6.0,216,2.0,No,No,No,No,No,No,No,No,No,No,14.0,13.0,No
659106,No,No,1,5.0,1603,5.0,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
659094,No,No,0,7.0,106,3.5,No,No,No,No,No,No,No,No,No,No,14.0,13.0,No
659079,No,No,0,2.0,73,2.0,No,No,No,No,No,No,No,No,No,No,12.0,15.0,No
659076,No,No,0,2.0,77,2.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
659074,No,No,0,3.0,718,3.0,No,No,No,No,No,No,No,No,No,No,13.0,14.0,No
659069,No,No,0,5.0,432,1.67,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
659057,No,No,0,5.0,232,2.5,No,No,No,No,No,No,No,No,No,No,13.0,16.0,No
659050,No,No,0,2.0,702,2.0,No,No,No,No,No,No,No,No,No,No,14.0,13.0,No
659038,No,No,1,5.0,614,5.0,No,No,No,No,No,No,No,No,No,No,15.0,19.0,No
659036,No,No,1,1.0,1808,1.0,No,No,No,No,No,No,No,No,No,No,14.0,14.0,No
659016,Yes,No,0,2.0,234,1.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
659013,No,No,0,3.0,245,3.0,No,No,No,No,No,No,No,No,No,No,13.0,17.0,No
658983,No,No,1,8.0,1268,4.0,No,No,No,No,No,No,No,No,No,No,16.0,18.0,No
658976,No,No,0,2.0,56,2.0,No,No,No,No,No,No,No,No,No,No,12.0,15.0,No
658932,No,No,0,4.0,174,2.0,No,No,No,No,No,No,No,No,No,No,13.0,13.0,No
658917,No,No,0,4.0,1149,2.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
658888,No,No,0,2.0,333,2.0,No,No,No,No,No,No,No,No,No,No,14.0,13.0,No
658856,No,No,0,7.0,471,2.33,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
658852,No,No,1,3.0,1010,3.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
658831,No,No,1,10.0,1815,3.33,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
658828,No,No,0,2.0,47,2.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
658826,No,No,1,3.0,1528,1.5,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
658793,No,No,1,6.0,919,6.0,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
658779,No,No,0,10.0,194,5.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
658773,No,No,0,1.0,1173,1.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
658766,No,No,0,2.0,351,2.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
658756,No,No,0,12.0,493,12.0,No,No,No,No,No,No,No,No,No,No,16.0,16.0,No
658744,No,No,0,3.0,381,1.5,No,No,No,No,No,No,No,No,No,No,13.0,17.0,No
658714,No,No,0,2.0,1944,2.0,No,No,No,No,No,No,No,No,No,No,14.0,13.0,No
658689,No,No,0,5.0,65,5.0,No,No,No,No,No,No,No,No,No,No,13.0,17.0,No
658686,No,No,0,7.0,1334,7.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
658677,No,No,0,7.0,615,7.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
658675,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
658656,No,No,0,1.0,250,1.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
658652,No,No,0,2.0,383,2.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
658648,No,No,1,,1240,,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
658634,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,19.0,No
658627,No,No,1,,458,,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
658623,No,No,1,,1060,,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
658620,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
658618,No,No,0,4.0,904,4.0,No,No,No,No,No,No,No,No,No,No,17.0,13.0,No
658612,No,No,0,1.0,164,1.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
658606,No,No,0,2.0,1793,2.0,No,No,No,No,No,No,No,No,No,No,11.0,15.0,No
658597,No,No,0,5.0,1841,5.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
658571,No,No,1,8.0,877,2.67,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
658561,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
658546,No,No,1,12.0,1411,6.0,No,No,No,No,No,No,No,No,No,No,16.0,16.0,No
658531,No,No,1,6.0,385,6.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
658527,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
658481,No,No,0,12.0,68,1.71,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
658470,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
658458,No,No,0,3.0,192,3.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
658448,No,No,0,5.0,309,5.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
658432,No,No,1,,785,,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
658430,No,No,0,4.0,342,4.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
658421,No,No,0,2.0,78,1.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
658407,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
658405,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
658398,No,No,1,5.0,1234,1.67,No,No,No,No,No,No,No,No,No,No,16.0,17.0,No
658353,No,No,0,8.0,14,8.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
658323,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
658322,No,No,0,4.0,77,4.0,No,No,No,No,No,No,No,No,No,No,12.0,13.0,No
658321,No,No,1,3.0,1299,3.0,No,No,No,No,No,No,No,No,No,No,16.0,13.0,No
658309,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,19.0,No
658299,No,No,0,2.0,457,2.0,No,No,No,No,No,No,No,No,No,No,13.0,13.0,No
658288,No,No,0,5.0,358,5.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
658281,No,No,0,3.0,481,3.0,No,No,No,No,No,No,No,No,No,No,13.0,16.0,No
658278,No,No,0,2.0,205,2.0,No,No,No,No,No,No,No,No,No,No,11.0,15.0,No
658277,No,No,1,1.0,1106,1.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
658264,No,No,1,9.0,1953,1.8,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
658258,No,No,1,,1070,,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
658243,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
658234,No,No,0,5.0,207,2.5,No,No,No,No,No,No,No,No,No,No,12.0,18.0,No
658231,No,No,1,2.0,1587,2.0,No,No,No,No,No,No,No,No,No,No,14.0,13.0,No
658222,No,No,1,2.0,1509,2.0,No,No,No,No,No,No,No,No,No,No,10.0,18.0,No
658220,No,No,0,4.0,331,4.0,No,No,No,No,No,No,No,No,No,No,12.0,15.0,No
658206,No,No,0,4.0,187,4.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
658203,No,No,1,3.0,1407,1.5,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
658193,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
658188,No,No,0,1.0,123,1.0,No,No,No,No,No,No,No,No,No,No,14.0,13.0,No
658178,No,No,0,1.0,100,1.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
658142,No,No,1,9.0,1164,4.5,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
658107,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
658089,No,No,1,1.0,1362,1.0,No,No,No,No,No,No,No,No,No,No,14.0,14.0,No
658081,No,No,0,7.0,1051,3.5,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
658071,No,No,0,2.0,1816,2.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
658070,No,No,0,7.0,74,2.33,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
658063,No,No,0,13.0,54,6.5,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
658048,No,No,1,3.0,1183,3.0,No,No,No,No,No,No,No,No,No,No,13.0,17.0,No
658029,No,No,0,3.0,66,3.0,No,No,No,No,No,No,No,No,No,No,14.0,14.0,No
658023,No,No,0,3.0,1122,1.5,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
658017,No,No,0,6.0,135,6.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
658011,No,No,0,9.0,307,1.8,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
657995,No,No,0,12.0,28,6.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
657990,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
657971,No,No,0,5.0,306,5.0,No,No,No,No,No,No,No,No,No,No,14.0,13.0,No
657968,No,No,1,7.0,116,7.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
657951,No,No,0,2.0,1054,2.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
657941,No,No,1,3.0,195,3.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
657920,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
657905,No,No,1,3.0,732,3.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
657902,No,No,0,7.0,1130,2.33,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
657899,No,No,0,13.0,594,4.33,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
657887,No,No,0,5.0,1117,5.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
657882,No,No,0,14.0,354,14.0,No,No,No,No,No,No,No,No,No,No,14.0,13.0,No
657879,No,No,0,3.0,217,3.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
657828,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
657823,No,No,1,5.0,1837,2.5,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
657821,No,No,0,1.0,302,1.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
657803,No,No,0,6.0,32,6.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
657777,No,No,0,1.0,1226,1.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
657754,No,No,0,4.0,144,4.0,No,No,No,No,No,No,No,No,No,No,13.0,17.0,No
657741,No,No,1,2.0,631,1.0,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
657731,No,No,1,1.0,891,1.0,No,No,No,No,No,No,No,No,No,No,15.0,19.0,No
657717,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
657703,No,No,0,3.0,235,3.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
657697,No,No,0,2.0,453,2.0,No,No,No,No,No,No,No,No,No,No,12.0,15.0,No
657691,No,No,0,3.0,60,1.5,No,No,No,No,No,No,No,No,No,No,14.0,13.0,No
657686,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
657676,No,No,0,9.0,96,4.5,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
657660,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
657655,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
657644,No,No,1,11.0,825,11.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
657643,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
657620,No,No,0,11.0,10,5.5,No,No,No,No,No,No,No,No,No,No,12.0,15.0,No
657611,No,No,1,,1704,,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
657609,No,No,1,3.0,1154,1.0,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
657590,No,No,1,,1262,,No,No,No,No,No,No,No,No,No,No,14.0,19.0,No
657586,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,19.0,No
657572,No,No,1,6.0,104,3.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
657510,No,No,0,3.0,331,3.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
657502,No,No,0,5.0,294,2.5,No,No,No,No,No,No,No,No,No,No,12.0,15.0,No
657500,No,No,0,5.0,345,5.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
657480,No,No,0,2.0,172,2.0,No,No,No,No,No,No,No,No,No,No,11.0,15.0,No
657477,No,No,1,4.0,228,4.0,No,No,No,No,No,No,No,No,No,No,14.0,19.0,No
657470,No,No,0,5.0,26,5.0,No,No,No,No,No,No,No,No,No,No,15.0,14.0,No
