iter	Passed	Remaining
247	3857	151689
248	3869	151539
249	3880	151337
250	3893	151227
251	3903	151008
252	3914	150818
253	3929	150758
254	3941	150613
255	3952	150437
256	3964	150313
257	3975	150110
258	3988	149995
259	3999	149840
260	4013	149765
261	4026	149648
262	4037	149485
263	4051	149401
264	4063	149288
265	4071	148985
266	4085	148942
267	4097	148803
268	4109	148656
269	4125	148660
270	4138	148572
271	4153	148554
272	4167	148494
273	4182	148460
274	4195	148365
275	4208	148272
276	4223	148243
277	4233	148064
278	4248	148015
279	4261	147924
280	4268	147639
281	4281	147536
282	4293	147424
283	4305	147304
284	4320	147270
285	4333	147201
286	4342	146961
287	4347	146616
288	4357	146415
289	4368	146266
290	4382	146212
291	4398	146227
292	4413	146202
293	4426	146135
294	4443	146187
295	4461	146271
296	4479	146341
297	4496	146396
298	4506	146223
299	4517	146056
300	4533	146085
301	4551	146148
302	4566	146147
303	4585	146249
304	4597	146140
305	4614	146184
306	4631	146219
307	4644	146159
308	4661	146204
309	4676	146190
310	4690	146121
311	4703	146062
312	4715	145947
313	4729	145888
314	4743	145857
315	4758	145817
316	4771	145756
317	4784	145675
318	4797	145595
319	4809	145481
320	4822	145417
321	4835	145340
322	4845	145177
323	4857	145057
324	4870	144990
325	4880	144841
326	4894	144776
327	4908	144753
328	4925	144782
329	4938	144722
330	4955	144743
331	4970	144755
332	4987	144773
333	5005	144863
334	5020	144853
335	5037	144895
336	5055	144948
337	5071	144982
338	5091	145090
339	5109	145175
340	5134	145427
341	5156	145610
342	5172	145619
343	5190	145701
344	5215	145953
345	5254	146615
346	5270	146608
347	5302	147074
348	5355	148088
349	5375	148222
350	5392	148246
351	5410	148307
352	5425	148284
353	5444	148357
354	5459	148340
355	5476	148361
356	5496	148460
357	5529	148912
358	5554	149178
359	5567	149086
360	5582	149053
361	5599	149070
362	5611	148978
363	5625	148908
364	5641	148910
365	5655	148856
366	5668	148780
367	5677	148591
368	5691	148561
369	5705	148504
370	5719	148433
371	5732	148360
372	5745	148295
373	5760	148263
374	5774	148201
375	5788	148167
376	5803	148134
377	5817	148090
378	5830	148016
379	5843	147921
380	5857	147871
381	5871	147822
382	5884	147748
383	5901	147781
384	5915	147723
385	5929	147678
386	5944	147650
387	5958	147600
388	5971	147539
389	5983	147447
390	5998	147417
391	6010	147307
392	6023	147254
393	6038	147211
394	6050	147122
395	6064	147067
396	6076	146973
397	6090	146936
398	6101	146820
399	6115	146765
400	6130	146752
401	6140	146614
402	6159	146688
403	6178	146751
404	6199	146878
405	6217	146922
406	6236	146992
407	6256	147091
408	6271	147072
409	6280	146911
410	6295	146876
411	6310	146848
412	6326	146866
413	6340	146819
414	6356	146823
415	6369	146735
416	6382	146667
417	6394	146590
418	6401	146388
419	6415	146330
420	6428	146269
421	6442	146225
422	6456	146187
423	6462	145963
424	6471	145800
425	6488	145814
426	6502	145781
427	6517	145750
428	6529	145683
429	6541	145577
430	6553	145491
431	6565	145403
432	6578	145356
433	6590	145264
434	6602	145181
435	6615	145106
436	6627	145033
437	6635	144849
438	6649	144812
439	6661	144745
440	6674	144683
441	6687	144605
442	6698	144515
443	6711	144440
444	6721	144322
445	6737	144325
446	6749	144251
447	6761	144167
448	6774	144103
449	6783	143966
450	6796	143894
451	6808	143813
452	6820	143741
453	6832	143671
454	6845	143611
455	6858	143551
456	6872	143504
457	6886	143477
458	6899	143418
459	6914	143395
460	6926	143318
461	6940	143284
462	6954	143241
463	6967	143196
464	6980	143136
465	6993	143084
466	7008	143057
467	7020	142997
468	7028	142840
469	7045	142858
470	7060	142844
471	7069	142712
472	7085	142710
473	7100	142693
474	7116	142701
475	7132	142718
476	7149	142739
477	7159	142621
478	7173	142589
479	7188	142575
480	7202	142531
481	7217	142524
482	7235	142570
483	7249	142542
484	7265	142536
485	7275	142431
486	7287	142361
487	7302	142332
488	7316	142306
489	7325	142181
490	7340	142165
491	7352	142091
492	7367	142076
493	7381	142038
494	7397	142045
495	7411	142009
496	7424	141955
497	7434	141844
498	7448	141829
499	7464	141820
500	7469	141620
501	7484	141612
502	7497	141566
503	7510	141515
504	7515	141313
505	7528	141253
506	7540	141185
507	7552	141121
508	7564	141044
509	7576	140984
510	7590	140952
511	7596	140771
512	7610	140743
513	7624	140703
514	7636	140654
515	7648	140581
516	7661	140521
517	7673	140459
518	7686	140417
519	7699	140359
520	7711	140298
521	7722	140224
522	7727	140033
523	7740	139987
524	7754	139956
525	7765	139867
526	7778	139812
527	7790	139758
528	7802	139684
529	7814	139626
530	7823	139517
531	7836	139470
532	7842	139300
533	7857	139291
534	7869	139224
535	7881	139166
536	7894	139111
537	7898	138906
538	7910	138850
539	7923	138802
540	7935	138748
541	7948	138707
542	7961	138654
543	7968	138502
544	7973	138325
545	7986	138280
546	7996	138186
547	8007	138107
548	8019	138055
549	8031	137995
550	8043	137944
551	8057	137906
552	8068	137840
553	8081	137792
554	8094	137744
555	8106	137690
556	8119	137646
557	8132	137617
558	8143	137540
559	8155	137481
560	8167	137425
561	8179	137371
562	8191	137305
563	8202	137225
564	8214	137171
565	8225	137104
566	8238	137062
567	8251	137016
568	8261	136936
569	8270	136832
570	8276	136668
571	8289	136626
572	8301	136584
573	8315	136551
574	8328	136512
575	8338	136426
576	8351	136392
577	8367	136402
578	8383	136402
579	8395	136361
580	8402	136215
581	8415	136176
582	8427	136122
583	8438	136061
584	8450	135994
585	8462	135955
586	8475	135914
587	8488	135875
588	8502	135848
589	8515	135817
590	8528	135776
591	8542	135755
592	8556	135729
593	8576	135802
594	8593	135842
595	8611	135870
596	8627	135891
597	8645	135925
598	8658	135896
599	8685	136068
600	8712	136248
601	8717	136084
602	8726	135990
603	8747	136075
604	8761	136062
605	8780	136115
606	8791	136044
607	8807	136052
608	8821	136029
609	8839	136064
610	8857	136117
611	8874	136139
612	8890	136143
613	8895	135981
614	8910	135982
615	8921	135909
616	8937	135923
617	8955	135954
618	8973	136001
619	8988	135984
620	8996	135872
621	9009	135832
622	9023	135816
623	9033	135735
624	9046	135702
625	9062	135711
626	9077	135696
627	9082	135547
628	9098	135556
629	9112	135526
630	9126	135513
631	9141	135496
632	9155	135475
633	9169	135463
634	9184	135446
635	9193	135360
636	9208	135345
637	9221	135310
638	9236	135313
639	9252	135312
640	9266	135300
641	9280	135276
642	9296	135283
643	9309	135248
644	9322	135211
645	9331	135125
646	9344	135083
647	9358	135063
648	9371	135020
649	9379	134914
650	9390	134853
651	9401	134789
652	9414	134751
653	9429	134753
654	9444	134752
655	9466	134841
656	9501	135116
657	9518	135139
658	9539	135216
659	9564	135353
660	9587	135451
661	9613	135598
662	9673	136230
663	9684	136167
664	9690	136035
665	9711	136103
666	9731	136165
667	9752	136247
668	9767	136230
669	9784	136250
670	9809	136381
671	9832	136481
672	9856	136597
673	9871	136594
674	9888	136609
675	9903	136591
676	9918	136592
677	9936	136620
678	9952	136619
679	9970	136649
680	9986	136656
681	10003	136676
682	10012	136587
683	10029	136602
684	10043	136572
685	10060	136590
686	10082	136684
687	10103	136756
688	10132	136924
689	10151	136967
690	10167	136976
691	10182	136969
692	10198	136967
693	10217	137006
694	10277	137605
695	10300	137698
696	10321	137766
697	10337	137765
698	10350	137722
699	10368	137752
700	10393	137875
701	10411	137898
702	10427	137895
703	10445	137927
704	10461	137927
705	10479	137949
706	10492	137918
707	10506	137891
708	10520	137858
709	10535	137854
710	10549	137832
711	10565	137820
712	10571	137691
713	10586	137677
714	10599	137648
715	10613	137619
716	10621	137515
717	10635	137486
718	10649	137470
719	10665	137466
720	10680	137451
721	10698	137474
722	10714	137481
723	10731	137491
724	10746	137486
725	10763	137499
726	10783	137541
727	10803	137597
728	10819	137601
729	10840	137665
730	10862	137729
731	10884	137809
732	10904	137866
733	10922	137883
734	10935	137843
735	10956	137913
736	10972	137913
737	10981	137823
738	10997	137818
739	11009	137764
740	11016	137656
741	11031	137641
742	11048	137655
743	11066	137672
744	11082	137669
745	11104	137749
746	11122	137776
747	11161	138059
748	11244	138886
749	11356	140062
750	11412	140547
751	11474	141112
752	11501	141241
753	11529	141376
754	11564	141602
755	11689	142937
756	11709	142971
757	11735	143082
758	11746	143015
759	11768	143075
760	11785	143086
761	11807	143147
762	11825	143157
763	11843	143181
764	11858	143153
765	11874	143145
766	11890	143139
767	11916	143245
768	11943	143368
769	11963	143411
770	11982	143430
771	11999	143438
772	12014	143414
773	12030	143404
774	12044	143372
775	12057	143325
776	12074	143320
777	12090	143318
778	12108	143332
779	12126	143339
780	12139	143296
781	12153	143258
782	12165	143203
783	12176	143137
784	12188	143084
785	12201	143032
786	12217	143018
787	12231	142994
788	12246	142973
789	12254	142871
790	12269	142841
791	12283	142807
792	12296	142766
793	12310	142733
794	12328	142742
795	12341	142705
796	12355	142665
797	12368	142626
798	12382	142598
799	12398	142586
800	12420	142640
801	12439	142670
802	12456	142670
803	12476	142708
804	12496	142738
805	12532	142959
806	12558	143059
807	12577	143087
808	12595	143093
809	12616	143146
810	12639	143207
811	12653	143179
812	12677	143255
813	12695	143273
814	12716	143309
815	12736	143353
816	12754	143361
817	12775	143406
818	12793	143418
819	12810	143419
820	12828	143430
821	12846	143437
822	12865	143455
823	12881	143452
824	12900	143464
825	12916	143462
826	12934	143471
827	12950	143451
828	12969	143482
829	12983	143449
830	13001	143451
831	13016	143430
832	13032	143416
833	13047	143392
834	13062	143369
835	13075	143335
836	13089	143301
837	13099	143214
838	13112	143175
839	13126	143144
840	13144	143150
841	13160	143137
842	13175	143119
843	13188	143077
844	13203	143053
845	13217	143016
846	13231	142979
847	13246	142960
848	13261	142934
849	13275	142911
850	13294	142922
851	13308	142890
852	13321	142851
853	13337	142841
854	13354	142837
855	13366	142784
856	13386	142817
857	13402	142805
858	13423	142848
859	13442	142869
860	13458	142850
861	13472	142819
862	13487	142796
863	13502	142775
864	13522	142810
865	13537	142779
866	13552	142762
867	13567	142738
868	13581	142711
869	13596	142682
870	13614	142698
871	13629	142671
872	13646	142666
873	13660	142641
874	13675	142617
875	13693	142628
876	13723	142760
877	13743	142790
878	13764	142826
879	13795	142975
880	13836	143218
881	13863	143314
882	13906	143584
883	13966	144023
884	13990	144096
885	14025	144273
886	14056	144412
887	14080	144485
888	14100	144505
889	14120	144536
890	14137	144535
891	14161	144604
892	14185	144667
893	14202	144663
894	14227	144735
895	14242	144717
896	14258	144698
897	14273	144678
898	14292	144688
899	14306	144659
900	14319	144607
901	14333	144575
902	14348	144548
903	14360	144489
904	14374	144458
905	14388	144420
906	14402	144393
907	14418	144375
908	14434	144356
909	14450	144343
910	14465	144321
911	14480	144295
912	14495	144270
913	14520	144347
914	14538	144356
915	14554	144338
916	14567	144289
917	14581	144258
918	14596	144236
919	14612	144219
920	14626	144182
921	14639	144141
922	14652	144099
923	14666	144058
924	14680	144027
925	14695	144001
926	14710	143982
927	14727	143974
928	14747	144001
929	14763	143982
930	14779	143969
931	14798	143987
932	14815	143976
933	14830	143949
934	14847	143947
935	14864	143947
936	14880	143933
937	14900	143949
938	14920	143974
939	14938	143981
940	14957	143994
941	14970	143956
942	14984	143918
943	15004	143936
944	15027	143990
945	15046	144011
946	15069	144057
947	15086	144056
948	15111	144127
949	15138	144213
950	15161	144265
951	15188	144356
952	15216	144453
953	15239	144505
954	15261	144548
955	15289	144646
956	15313	144700
957	15336	144750
958	15353	144746
959	15375	144789
960	15403	144882
961	15432	144984
962	15453	145020
963	15474	145050
964	15496	145085
965	15517	145119
966	15542	145188
967	15577	145348
968	15597	145364
969	15615	145365
970	15635	145385
971	15657	145429
972	15673	145414
973	15693	145433
974	15720	145515
975	15746	145589
976	15812	146036
977	15899	146672
978	15956	147028
979	15980	147084
980	16027	147351
981	16108	147930
982	16161	148244
983	16183	148285
984	16206	148328
985	16224	148328
986	16252	148417
987	16282	148522
988	16320	148695
989	16335	148666
990	16351	148645
991	16366	148619
992	16382	148598
993	16401	148604
994	16417	148584
995	16436	148585
996	16452	148564
997	16466	148525
998	16483	148517
999	16498	148483
1000	16514	148463
1001	16530	148445
1002	16546	148425
1003	16566	148438
1004	16582	148416
1005	16600	148411
1006	16618	148413
1007	16632	148373
1008	16646	148335
1009	16658	148281
1010	16672	148239
1011	16686	148202
1012	16702	148179
1013	16718	148157
1014	16733	148127
1015	16748	148099
1016	16762	148064
1017	16777	148031
1018	16791	147994
1019	16807	147969
1020	16824	147961
1021	16839	147934
1022	16855	147908
1023	16872	147894
1024	16890	147893
1025	16908	147894
1026	16925	147877
1027	16939	147844
1028	16953	147800
1029	16966	147758
1030	16979	147710
1031	16992	147667
1032	17006	147624
1033	17020	147585
1034	17032	147531
1035	17045	147487
1036	17059	147448
1037	17071	147391
1038	17084	147351
1039	17098	147313
1040	17111	147262
1041	17127	147246
1042	17140	147200
1043	17155	147173
1044	17171	147152
1045	17187	147132
1046	17203	147108
1047	17218	147083
1048	17234	147062
1049	17250	147041
1050	17266	147016
1051	17280	146985
1052	17294	146947
1053	17307	146900
1054	17320	146855
1055	17334	146820
1056	17348	146781
1057	17360	146728
1058	17375	146696
1059	17389	146659
1060	17403	146626
1061	17420	146613
1062	17434	146580
1063	17448	146543
1064	17462	146502
1065	17475	146456
1066	17487	146409
1067	17499	146355
1068	17512	146309
1069	17524	146253
1070	17536	146201
1071	17550	146169
1072	17562	146117
1073	17575	146067
1074	17589	146034
1075	17601	145978
1076	17613	145928
1077	17625	145874
1078	17636	145818
1079	17649	145772
1080	17661	145721
1081	17672	145663
1082	17687	145629
1083	17700	145586
1084	17715	145560
1085	17728	145517
1086	17743	145487
1087	17757	145454
1088	17770	145407
1089	17784	145375
1090	17798	145340
1091	17813	145310
1092	17827	145275
1093	17839	145223
1094	17852	145182
1095	17865	145142
1096	17879	145106
1097	17894	145075
1098	17908	145046
1099	17922	145008
1100	17937	144978
1101	17950	144940
1102	17964	144903
1103	17976	144851
1104	17988	144804
1105	18001	144757
1106	18014	144715
1107	18028	144680
1108	18042	144651
1109	18056	144616
1110	18074	144612
1111	18090	144594
1112	18106	144572
1113	18120	144542
1114	18136	144519
1115	18151	144498
1116	18165	144465
1117	18180	144432
1118	18194	144402
1119	18210	144384
1120	18227	144375
1121	18243	144352
1122	18257	144320
1123	18271	144289
1124	18285	144253
1125	18298	144209
1126	18312	144172
1127	18326	144145
1128	18340	144106
1129	18352	144061
1130	18367	144035
1131	18380	143990
1132	18394	143956
1133	18407	143912
1134	18420	143876
1135	18435	143847
1136	18453	143842
1137	18466	143807
1138	18480	143774
1139	18493	143731
1140	18506	143691
1141	18518	143642
1142	18532	143604
1143	18544	143556
1144	18556	143508
1145	18568	143458
1146	18581	143415
1147	18596	143397
1148	18609	143355
1149	18626	143341
1150	18641	143320
1151	18657	143301
1152	18671	143270
1153	18685	143235
1154	18707	143265
1155	18723	143246
1156	18738	143218
1157	18750	143174
1158	18768	143168
1159	18783	143139
1160	18800	143136
1161	18820	143145
1162	18838	143145
1163	18854	143127
1164	18875	143145
1165	18895	143160
1166	18910	143135
1167	18929	143140
1168	18948	143143
1169	18966	143140
1170	18983	143126
1171	18998	143103
1172	19011	143066
1173	19027	143045
1174	19042	143024
1175	19055	142982
1176	19083	143054
1177	19119	143183
1178	19139	143199
1179	19158	143199
1180	19175	143189
1181	19190	143169
1182	19205	143138
1183	19223	143137
1184	19240	143124
1185	19254	143097
1186	19273	143100
1187	19291	143094
1188	19318	143157
1189	19338	143166
1190	19353	143142
1191	19383	143232
1192	19405	143254
1193	19423	143253
1194	19440	143244
1195	19460	143253
1196	19479	143255
1197	19496	143246
1198	19512	143227
1199	19531	143232
1200	19547	143212
1201	19563	143193
1202	19585	143218
1203	19607	143246
1204	19629	143269
1205	19646	143261
1206	19666	143267
1207	19682	143252
1208	19703	143266
1209	19724	143284
1210	19744	143301
1211	19766	143326
1212	19789	143357
1213	19805	143335
1214	19821	143320
1215	19836	143289
1216	19853	143284
1217	19871	143275
1218	19890	143278
1219	19908	143273
1220	19925	143265
1221	19942	143254
1222	19966	143289
1223	19991	143337
1224	20013	143361
1225	20035	143388
1226	20068	143490
1227	20105	143618
1228	20123	143612
1229	20138	143592
1230	20154	143569
1231	20169	143542
1232	20189	143554
1233	20205	143535
1234	20221	143516
1235	20239	143511
1236	20254	143484
1237	20271	143474
1238	20287	143451
1239	20302	143424
1240	20318	143408
1241	20332	143373
1242	20350	143373
1243	20368	143364
1244	20385	143351
1245	20403	143345
1246	20420	143335
1247	20433	143299
1248	20448	143273
1249	20463	143245
1250	20480	143234
1251	20496	143215
1252	20510	143177
1253	20524	143148
1254	20539	143120
1255	20551	143076
1256	20565	143038
1257	20579	143011
1258	20591	142965
1259	20605	142931
1260	20618	142888
1261	20632	142858
1262	20645	142817
1263	20657	142771
1264	20671	142740
1265	20686	142716
1266	20700	142683
1267	20714	142646
1268	20728	142617
1269	20741	142576
1270	20754	142538
1271	20769	142512
1272	20784	142486
1273	20800	142467
1274	20820	142474
1275	20837	142468
1276	20862	142511
1277	20881	142513
1278	20904	142537
1279	20926	142560
1280	20949	142587
1281	20968	142589
1282	20991	142622
1283	21007	142603
1284	21025	142599
1285	21041	142578
1286	21056	142552
1287	21071	142525
1288	21085	142496
1289	21104	142494
1290	21123	142496
1291	21162	142635
1292	21184	142653
1293	21205	142668
1294	21232	142725
1295	21250	142718
1296	21266	142702
1297	21284	142693
1298	21304	142701
1299	21333	142769
1300	21356	142796
1301	21399	142957
1302	21418	142961
1303	21438	142964
1304	21452	142934
1305	21468	142913
1306	21485	142899
1307	21503	142897
1308	21530	142952
1309	21554	142986
1310	21573	142980
1311	21590	142971
1312	21610	142980
1313	21631	142994
1314	21650	142991
1315	21672	143014
1316	21693	143025
1317	21719	143073
1318	21751	143156
1319	21778	143211
1320	21805	143262
1321	21827	143280
1322	21847	143285
1323	21864	143277
1324	21891	143329
1325	21943	143545
1326	21964	143557
1327	21982	143550
1328	22003	143562
1329	22025	143578
1330	22047	143596
1331	22069	143618
1332	22094	143658
1333	22115	143670
1334	22145	143740
1335	22167	143754
1336	22183	143737
1337	22202	143733
1338	22216	143704
1339	22234	143692
1340	22248	143661
1341	22278	143730
1342	22298	143734
1343	22317	143735
1344	22338	143748
1345	22360	143764
1346	22379	143761
1347	22419	143900
1348	22436	143882
1349	22468	143962
1350	22488	143969
1351	22508	143973
1352	22541	144060
1353	22571	144133
1354	22596	144166
1355	22621	144201
1356	22647	144247
1357	22671	144276
1358	22736	144569
1359	22764	144618
1360	22783	144617
1361	22801	144608
1362	22828	144655
1363	22853	144695
1364	22886	144778
1365	22912	144824
1366	22939	144870
1367	22970	144941
1368	23034	145221
1369	23085	145419
1370	23108	145446
1371	23132	145474
1372	23175	145618
1373	23206	145692
1374	23229	145713
1375	23261	145791
1376	23282	145797
1377	23308	145838
1378	23348	145964
1379	23377	146024
1380	23407	146086
1381	23431	146115
1382	23457	146153
1383	23478	146164
1384	23502	146189
1385	23518	146167
1386	23543	146203
1387	23566	146218
1388	23584	146210
1389	23606	146224
1390	23624	146215
1391	23649	146247
1392	23682	146325
1393	23709	146375
1394	23730	146381
1395	23753	146401
1396	23772	146396
1397	23812	146519
1398	23843	146589
1399	23865	146599
1400	23889	146630
1401	23908	146624
1402	23931	146640
1403	23949	146628
1404	23970	146635
1405	23991	146648
1406	24012	146653
1407	24036	146675
1408	24056	146680
1409	24077	146684
1410	24094	146668
1411	24117	146688
1412	24135	146673
1413	24152	146657
1414	24174	146670
1415	24196	146682
1416	24214	146673
1417	24233	146665
1418	24288	146877
1419	24361	147200
1420	24439	147547
1421	24513	147875
1422	24570	148095
1423	24609	148209
1424	24631	148221
1425	24660	148277
1426	24697	148374
1427	24757	148615
1428	24776	148605
1429	24799	148620
1430	24820	148630
1431	24839	148621
1432	24869	148679
1433	24900	148744
1434	24947	148904
1435	24978	148968
1436	25001	148981
1437	25025	149002
1438	25045	149003
1439	25069	149026
1440	25086	149007
1441	25105	148996
1442	25124	148988
1443	25141	148967
1444	25160	148963
1445	25180	148960
1446	25199	148947
1447	25220	148953
1448	25239	148947
1449	25258	148937
1450	25280	148945
1451	25301	148948
1452	25321	148950
1453	25346	148975
1454	25387	149095
1455	25452	149360
1456	25491	149465
1457	25597	149970
1458	25645	150130
1459	25680	150211
1460	25718	150312
1461	25765	150467
1462	25827	150708
1463	25869	150835
1464	25895	150866
1465	25926	150926
1466	25954	150970
1467	25984	151022
1468	26004	151019
1469	26039	151102
1470	26064	151126
1471	26090	151152
1472	26111	151157
1473	26139	151198
1474	26207	151471
1475	26233	151502
1476	26274	151615
1477	26300	151644
1478	26329	151694
1479	26351	151697
1480	26370	151685
1481	26388	151672
1482	26410	151677
1483	26442	151741
1484	26464	151746
1485	26487	151757
1486	26509	151766
1487	26529	151757
1488	26545	151729
1489	26565	151724
1490	26584	151713
1491	26601	151693
1492	26617	151664
1493	26633	151635
1494	26648	151605
1495	26664	151576
1496	26683	151562
1497	26700	151538
1498	26713	151497
1499	26736	151509
1500	26764	151546
1501	26790	151575
1502	26810	151570
1503	26830	151563
1504	26848	151547
1505	26870	151555
1506	26901	151609
1507	26934	151677
1508	26959	151701
1509	26984	151722
1510	27012	151761
1511	27056	151888
1512	27081	151911
1513	27106	151930
1514	27124	151913
1515	27144	151910
1516	27166	151913
1517	27197	151969
1518	27223	151998
1519	27260	152084
1520	27302	152198
1521	27330	152240
1522	27357	152272
1523	27391	152342
1524	27420	152386
1525	27456	152468
1526	27496	152573
1527	27542	152710
1528	27562	152700
1529	27611	152857
1530	27641	152902
1531	27679	152995
1532	27703	153012
1533	27723	153003
1534	27759	153086
1535	27790	153136
1536	27812	153140
1537	27834	153142
1538	27852	153127
1539	27868	153096
1540	27882	153056
1541	27898	153026
1542	27916	153009
1543	27934	152989
1544	27952	152969
1545	27971	152955
1546	27988	152933
1547	28007	152919
1548	28026	152905
1549	28061	152980
1550	28080	152967
1551	28101	152967
1552	28120	152952
1553	28138	152930
1554	28158	152922
1555	28190	152981
1556	28216	153009
1557	28236	153000
1558	28257	152994
1559	28285	153033
1560	28313	153067
1561	28340	153095
1562	28369	153135
1563	28405	153216
1564	28434	153254
1565	28466	153312
1566	28489	153319
1567	28506	153295
1568	28533	153323
1569	28564	153376
1570	28588	153388
1571	28607	153375
1572	28646	153467
1573	28662	153434
1574	28682	153428
1575	28700	153410
1576	28719	153393
1577	28738	153382
1578	28765	153411
1579	28789	153421
1580	28819	153464
1581	28842	153473
1582	28865	153483
1583	28887	153485
1584	28915	153515
1585	28947	153573
1586	28969	153570
1587	28987	153556
1588	29008	153549
1589	29034	153570
1590	29058	153585
1591	29079	153579
1592	29117	153668
1593	29144	153693
1594	29172	153725
1595	29190	153707
1596	29210	153697
1597	29227	153674
1598	29248	153666
1599	29265	153642
1600	29282	153620
1601	29301	153602
1602	29325	153617
1603	29349	153625
1604	29366	153603
1605	29388	153603
1606	29413	153617
1607	29437	153632
1608	29458	153625
1609	29481	153632
1610	29507	153656
1611	29527	153645
1612	29544	153620
1613	29561	153594
1614	29577	153564
1615	29596	153548
1616	29611	153515
1617	29630	153498
1618	29648	153481
1619	29669	153477
1620	29686	153448
1621	29701	153415
1622	29716	153380
1623	29731	153345
1624	29748	153319
1625	29766	153298
1626	29780	153256
1627	29796	153230
1628	29811	153191
1629	29823	153143
1630	29838	153106
1631	29853	153073
1632	29867	153033
1633	29890	153038
1634	29912	153037
1635	29930	153018
1636	29956	153040
1637	29974	153017
1638	29995	153014
1639	30017	153017
1640	30038	153010
1641	30058	153002
1642	30078	152991
1643	30101	152999
1644	30134	153056
1645	30156	153055
1646	30178	153053
1647	30203	153070
1648	30221	153049
1649	30238	153024
1650	30255	152998
1651	30276	152993
1652	30291	152958
1653	30305	152920
1654	30327	152921
1655	30350	152923
1656	30365	152892
1657	30382	152867
1658	30398	152833
1659	30413	152800
1660	30430	152773
1661	30450	152764
1662	30476	152786
1663	30510	152845
1664	30528	152827
1665	30545	152800
1666	30589	152912
1667	30614	152923
1668	30636	152924
1669	30653	152899
1670	30669	152869
